=== Application started at 2026-06-08 11:19:54.211434 ===
[2026-06-08 11:20:21] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:21] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:22] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:22] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:22] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:22] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:22] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:22] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:22] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:22] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:22] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:22] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:23] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:23] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:23] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:23] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:23] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:23] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:23] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:23] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
